Oraciones,Prediccion
malo,negativa
molesto,negativa
molesta,negativa
maldita,negativa
tedioso,negativa
horrible,negativa
fastidia,negativa
fastidio,negativa
nefasto,negativa
terrible,negativa
pesimo,negativa
confiaba,negativa
pesima,negativa
caro,negativa
feo,negativa
mediocre,negativa
mal,negativa
insuficiente,negativa
incoherente,negativa
inutil,negativa
roto,negativa
pequeÃ±o,No se detecta ninguna emoción en el texto
triste,negativa
evitas,negativa
evites,negativa
tristeza,negativa
enojo,negativa
llanto,negativa
cruel,negativa
despistado,negativa
despiadado,negativa
maldito,negativa
caraje,negativa
carajo,negativa
frio,negativa
basura,negativa
callate,negativa
rompe,negativa
cae,negativa
exasperante,negativa
negativo,negativa
desagrada,negativa
desagrado,negativa
desagradante,negativa
complicado,negativa
aspero,negativa
rompio,negativa
tirado,negativa
matar,negativa
lento,negativa
verga,negativa
mrd,negativa
puta,negativa
pvta,negativa
mierda,negativa
traicion,negativa
vrg,negativa
desacomodado,negativa
desacomodada,negativa
desacomodando,negativa
desordenado,negativa
desordenada,negativa
desordenando,negativa
enfermo,negativa
enferma,negativa
enfermos,negativa
enfermas,negativa
enferme,negativa
enfermamos,negativa
cai,negativa
caimos,negativa
cayo,negativa
callo,negativa
callaron,negativa
cayeron,negativa
injusto,negativa
injusticia,negativa
devastado,negativa
asusta,negativa
asusto,negativa
asustaron,negativa
enojado,negativa
traicionado,negativa
incertidumbre,negativa
traicionada,negativa
inquieto,negativa
dejo,negativa
peor,negativa
cansado,negativa
cansada,negativa
agotado,negativa
agotada,negativa
agotados,negativa
agotadas,negativa
cansados,negativa
cansadas,negativa
muerto,negativa
muerta,negativa
enfurece,negativa
enfurecido,negativa
enfurecida,negativa
grande,negativa
costoso,negativa
miedo,negativa
miedoso,negativa
miedosa,negativa
inservible,negativa
vano,negativa
ingrata,negativa
ingrato,negativa
ingratitud,negativa
aburrido,negativa
aburrida,negativa
tarde,negativa
harto,negativa
harta,negativa
harte,negativa
hartaste,negativa
olvide,negativa
olvido,negativa
olvidaste,negativa
olvidaron,negativa
incomprensible,negativa
incomprendido,negativa
indignado,negativa
abominable,negativa
anticuado,negativa
catastrofico,negativa
chatarra,negativa
chocante,negativa
cutre,negativa
daÃ±ado,No se detecta ninguna emoción en el texto
daÃ±ino,No se detecta ninguna emoción en el texto
decepcionante,negativa
defectuoso,negativa
deficiente,negativa
defraudador,negativa
defraudante,negativa
deplorable,negativa
desacertado,negativa
desactualizado,negativa
desafortunado,negativa
desagradable,negativa
desalentador,negativa
desastroso,negativa
desatinado,negativa
descompuesto,negativa
desfasado,negativa
desfavorecido,negativa
desgarrador,negativa
desgastado,negativa
desilusion,negativa
desilusionante,negativa
desmesurado,negativa
desmoralizador,negativa
desorganizado,negativa
desperdicio,negativa
desperfecto,negativa
despreciable,negativa
deteriorado,negativa
engorroso,negativa
espantoso,negativa
estancado,negativa
esteril,negativa
estropeado,negativa
falla,negativa
fallido,negativa
fallos,negativa
falso,negativa
fatidico,negativa
fracaso,negativa
fragil,negativa
frustrante,negativa
futil,negativa
horrendo,negativa
horripilante,negativa
imperdonable,negativa
impractico,negativa
impreciso,negativa
impresentable,negativa
improductivo,negativa
impropio,negativa
inaceptable,negativa
inadecuado,negativa
inadmisible,negativa
inalcanzable,negativa
inapropiado,negativa
incapaz,negativa
incomodo,negativa
incomoda,negativa
incomodas,negativa
incompetente,negativa
incompleto,negativa
inconforme,negativa
inconsistente,negativa
inconveniente,negativa
indeseable,negativa
indigno,negativa
ineficaz,negativa
ineficiente,negativa
inepto,negativa
inestable,negativa
infame,negativa
inferior,negativa
infernal,negativa
injustificable,negativa
